slot_id,hari,jam_mulai,jam_selesai,jenis_slot
1,Senin,07:40,08:20,pelajaran
2,Senin,08:20,09:00,pelajaran
3,Senin,09:00,09:40,pelajaran
4,Senin,10:00,10:40,pelajaran
5,Senin,10:40,11:20,pelajaran
6,Senin,11:20,12:00,pelajaran
7,Senin,12:50,13:30,pelajaran
8,Senin,13:30,14:30,pelajaran
9,Selasa,07:30,08:10,pelajaran
10,Selasa,08:10,08:50,pelajaran
11,Selasa,08:50,09:30,pelajaran
12,Selasa,09:50,10:30,pelajaran
13,Selasa,10:30,11:10,pelajaran
14,Selasa,11:10,11:50,pelajaran
15,Selasa,12:40,13:20,pelajaran
16,Selasa,13:20,14:00,pelajaran
17,Rabu,07:30,08:10,pelajaran
18,Rabu,08:10,08:50,pelajaran
19,Rabu,08:50,09:30,pelajaran
20,Rabu,10:30,11:10,pelajaran
21,Rabu,11:00,11:40,pelajaran
22,Rabu,12:40,13:20,pelajaran
23,Rabu,13:20,14:00,pelajaran
24,Rabu,13:20,14:00,pelajaran
25,Kamis,07:30,08:10,pelajaran
26,Kamis,08:10,08:50,pelajaran
27,Kamis,08:50,09:30,pelajaran
28,Kamis,09:50,10:30,pelajaran
29,Kamis,10:30,11:10,pelajaran
30,Kamis,11:10,11:50,pelajaran
31,Kamis,12:40,13:20,pelajaran
32,Jumat,07:40,08:20,pelajaran
33,Jumat,08:20,09:00,pelajaran
34,Jumat,09:20,10:00,pelajaran
35,Jumat,10:00,10:40,pelajaran
36,Jumat,10:40,11:20,pelajaran
